company,address,city,state,zip code,country,room count,phone number,email
The Inn at Sweet Water Farm,1 Prospect Lake Rd,Great Barrington,MA,01230,us,6,(413) 528-2882,
Holiday Inn Express Hotel & Suites Great Barrington,415 Stockbridge Rd,Great Barrington,MA,01230,us,58,(413) 528-1810,e.poppell@yahoo.com
Monument Mountain Motel,247 Stockbridge Rd,Great Barrington,MA,01230,us,16,(413) 528-3272,westregion@ttor.org
Comfort Inn & Suites Great Barrington,249 Stockbridge Rd,Great Barrington,MA,01230,us,93,(413) 644-3200,sales@berkshirecomfortinn.com
Wainwright Inn,518 Main St,Great Barrington,MA,01230,us,,(413) 528-2062,robertt@wainwrightinn.com
Fairfield Inn & Suites Lenox Great Barrington/Berkshires,249 Stockbridge Rd,Great Barrington,MA,01230,us,93,(413) 644-3200,reservations@berkshirecomfortinn.com
Days Inn Great Barrington,372 Main St,Great Barrington,MA,01230,us,61,(800) 903-0468,johnsmith@email.com
Mountain View Motel,304 State Rd,Great Barrington,MA,01230,us,17,(413) 528-0250,calebmetcalf@hotmail.com
Windflower Inn,684 S Egremont Rd,Great Barrington,MA,01230,us,,(413) 528-2720,wndflowr@windflowerinn.com
Thornewood Inn,453 Stockbridge Rd,Great Barrington,MA,01230,us,,(413) 528-3828,info@thornewoodinn.com
Mepal Manor & Spa,100 Stone Manor Dr,New Marlborough,MA,01230,us,12,(413) 229-3498,info@mepalmanor.com
Gedney Farm,34 Hartsville New Marlboro Rd,New Marlborough,MA,01230,us,,(413) 229-3131,gedneyfarms@bizmelocal.com
Madden Open Hearts Camp,250 Monument Valley Rd,Great Barrington,MA,01230,us,,(413) 528-2229,
Wind In The Pines Resort Owner Services,949 Main St,Great Barrington,MA,01230,us,,(413) 528-3840,
The Acorn's Hope,85 Alford Rd,Great Barrington,MA,01230,us,,(413) 528-2573,acornshope@yahoo.com
Gedney Farm,Rt 57,New Marlborough,MA,01230,us,,(413) 229-3131,
Bissellville Campground,1109 Washington Rd,Hinsdale,MA,01235,us,,(413) 655-8396,
English Hideaway B & B,325 N Plain Rd,Housatonic,MA,01236,us,,(413) 274-6149,info@englishhideawayinn.com
Christine's Bed & Breakfast Inn and Tea Room,325 N Plain Rd,Housatonic,MA,01236,us,,(413) 274-6149,
Brook Cove,30 Linda Ln,Housatonic,MA,01236,us,,(413) 274-6653,
Jiminy Peak Mountain Resort,37 Corey Rd,Hancock,MA,01237,us,105,(413) 738-5500,info@jiminy.com
Wyndham Bentley Brook,1 Corey Rd,Hancock,MA,01237,us,138,(413) 738-8600,
Vacation Village in the Berkshires,276 Brodie Mountain Rd,Hancock,MA,01237,us,360,(413) 738-2000,
Weathervane Motel,475 S Main St,Lanesboro,MA,01237,us,13,(413) 443-3230,navin.shah@weathervanemotel.com
Econo Lodge The Springs,94 Route 7,New Ashford,MA,01237,us,40,(413) 458-7090,ihelp@choicehotels.com
Shirakaba Guest House,20 Mallery Rd,New Ashford,MA,01237,us,,(413) 458-1800,louise@berkshires-shirakaba.com
Lanesboro Country Inn,499 S Main St,Lanesboro,MA,01237,us,17,(413) 442-1009,
America's Best Value Inn,94 Route 7,Lanesboro,MA,01237,us,,(413) 458-0000,berkshirebestvalueinn@yahoo.com
Patriot Resorts,20 Williamstown Rd,Lanesboro,MA,01237,us,,(413) 236-5885,
Summit Lodge,37 Corey Rd,Hancock,MA,01237,us,,(413) 738-5500,
New Ashford Inn & Motor Inn,259 Route 7,New Ashford,MA,01237,us,,(413) 458-8041,
Berkshire Vista Resort,312 Kittle Rd,Hancock,MA,01237,us,,(413) 738-5154,
Patriot Resorts Corporation,276 Brodie Mountain Rd,Lanesboro,MA,01237,us,,(413) 738-5112,
Fairbank Group,37 Corey Rd,Hancock,MA,01237,us,,(413) 738-5500,
Econo Lodge The Springs,94 New Ashford Rd,New Ashford,MA,01237,us,,(413) 458-7090,
Mt. View Motel,499 S Main St,Lanesboro,MA,01237,us,,(413) 442-1009,info@lanesborocountryinn.com
Lanesborough Country Inn,499 S Main St,Lanesboro,MA,01237,us,,(888) 271-2681,
Country Inn & Suites,37 Corey Rd,Hancock,MA,01237,us,,(413) 738-5500,
Americas Best Value Inn - New Ashford / Williamstown,94 Old Route 7,Lanesboro,MA,01237,us,,(413) 458-0000,
Mill House Inn,4190 Rt,Hancock,MA,01237,us,,(888) 271-2681,
Super 8 Lee/Berkshires/Outlet Area,170 Housatonic St,Lee,MA,01238,us,49,(413) 243-0143,super8lee@aol.com
Inn At Laurel Lake,615 Laurel St,Lee,MA,01238,us,,(413) 243-9749,inkpr@laurellakeinn.com
Chambery Inn,199 Main St,Lee,MA,01238,us,9,(413) 243-2221,webmaster@berkshireballet.org
Oak N' Spruce Resort,190 Meadow St,Lee,MA,01238,us,,(413) 243-2353,
Rodeway Inn,200 Laurel St,Lee,MA,01238,us,23,(413) 243-0813,ihelp@choicehotels.com
Pilgrim Inn,165 Housatonic St,Lee,MA,01238,us,36,(413) 243-1328,super8lee@aol.com
Devonfield Inn,85 Stockbridge Rd,Lee,MA,01238,us,10,(413) 243-3298,innkeeper@devonfield.com
Sunset Motel,150 Housatonic St,Lee,MA,01238,us,27,(413) 243-0302,ron-patel@sunset-motel.com
Crabtree Cottage,65 Franklin St,Lee,MA,01238,us,,(413) 243-1780,innkeeper@crabtreecottage.com
Best Western Black Swan Inn,435 Laurel St,Lee,MA,01238,us,,(413) 243-2700,
Americas Best Value Inn,980 Pleasant St,Lee,MA,01238,us,23,(413) 243-0501,americasbestvalueinn@live.com
Applegate Inn,279 W Park St,Lee,MA,01238,us,11,(413) 243-4451,info@applegateinn.com
"Black Swan Inn, An Ascend Collection Hotel",435 Laurel St,Lee,MA,01238,us,52,(413) 243-2700,ihelp@choicehotels.com
Inn At Lee Plaza,10 Pleasant St,Lee,MA,01238,us,,(413) 243-3377,
Federal House Inn,1560 Pleasant St,Lee,MA,01238,us,9,(413) 243-1824,info@federalhouseinn.com
Appleton House Bed & Breakfast,455 Chapel St,Lee,MA,01238,us,,(413) 243-9093,
Historic Merrell Inn,1565 Pleasant St,Lee,MA,01238,us,,(413) 243-1794,merey@bcn.net
Barrington Coffee,165 Quarry Hill Rd,Lee,MA,01238,us,,(413) 243-3008,coffee@barringtoncoffee.com
Jonathan Foote 1778 House,1 East St,Lee,MA,01238,us,,(413) 243-4545,innkeeper@1778house.com
"1800 Devonfield Inn, An English Country Estate - B&B",85 Stockbridge Rd,Lee,MA,01238,us,,(413) 243-3298,innkeeper@devonfield.com
"Cranwell Resort, Spa and Golf Club",55 Lee Rd,Lenox,MA,01240,us,114,(413) 637-1364,info@cranwell.com
Hampton Inn & Suites Berkshires Lenox,445 Pittsfield Rd,Lenox,MA,01240,us,79,(413) 499-1111,
Brook Farm Inn,15 Hawthorne St,Lenox,MA,01240,us,15,(413) 637-3013,innkeeper@brookfarm.com
Seven Hills Inn,40 Plunkett St,Lenox,MA,01240,us,,(413) 637-0060,frontdesk@sevenhillsinn.com
Garden Gables Inn,135 Main St,Lenox,MA,01240,us,15,(413) 637-0193,innkeeper@gardengablesinn.com
Kemble Inn,2 Kemble St,Lenox,MA,01240,us,13,(413) 637-4113,info@kembleinn.com
Whistler's Inn,5 Greenwood St,Lenox,MA,01240,us,14,(413) 637-0975,info@whistlersinnberkshires.com
Lenox Inn,525 Pittsfield Rd,Lenox,MA,01240,us,17,(413) 499-0324,info@thelenoxinn.com
Wheatleigh,Hawthorne Rd,Lenox,MA,01240,us,19,(413) 637-0610,info@wheatleigh.com
The Rookwood Inn,11 Old Stockbridge Rd,Lenox,MA,01240,us,21,(413) 637-9750,innkeeper@rookwoodinn.com
Stonover Farm,169 Under Mountain Rd,Lenox,MA,01240,us,5,(413) 637-9100,stonoverfarm@aol.com
Hampton Terrace B & B,91 Walker St,Lenox,MA,01240,us,14,(413) 637-1773,stan@hamptonterrace.com
Gateways Inn & Restaurant,51 Walker St,Lenox,MA,01240,us,12,(413) 637-2532,innkeeper@gatewaysinn.com
Knights Inn Lenox,474 Pittsfield Rd,Lenox,MA,01240,us,19,(413) 443-4468,johnsmith@email.com
Elm Court Estate,310 Old Stockbridge Rd,Lenox,MA,01240,us,,(413) 637-1556,reservations@elmcourt.com
Howard Johnson Express Inn - Lenox,462 Pittsfield Rd,Lenox,MA,01240,us,44,(413) 442-4000,hojolenox@hotmail.com
Days Inn - Lenox MA,194 Pittsfield Rd,Lenox,MA,01240,us,59,(413) 637-3560,daysinn12200@aol.com
Econo Lodge,130 Pittsfield Rd,Lenox,MA,01240,us,118,(413) 637-4244,ihelp@choicehotels.com
Blantyre,16 Blantyre Rd,Lenox,MA,01240,us,24,(413) 637-3556,reservations@blantyre.com
Yankee Inn,461 Pittsfield Rd,Lenox,MA,01240,us,999,(413) 499-3700,reservations@yankeeinn.com
Strawberry Banke Farm B & B,140 Skyline Trl,Middlefield,MA,01243,us,,(413) 623-6481,
Lakeside Terrace,24 Lakeside Ave,Monterey,MA,01245,us,,(413) 528-3371,
Berkshire Hill Cottage Rental,10 Mountain Laurel Way,Monterey,MA,01245,us,,(413) 528-2963,
Hume Lakes Christian Camps,73 Chestnut Hill Rd,Monterey,MA,01245,us,,(413) 528-3604,
Lakeside Terrace,2411 Lakeside Ter,Monterey,MA,01245,us,,(413) 528-3371,
Swann Lodge,Brett Rd,Monterey,MA,01245,us,,(413) 528-3294,
Holiday Inn Berkshires,40 Main St,North Adams,MA,01247,us,90,(413) 663-6500,c_tisher@yahoo.com
Redwood Motel,915 State Rd,North Adams,MA,01247,us,18,(413) 664-4351,sheajohn@redwoodmotel.com
The Porches Inn at MASS MoCA,231 River St,North Adams,MA,01247,us,47,(413) 664-0400,eross@historichotels.org
Whitcomb Summit Motel Resort,229 Mohawk Trl,Florida,MA,01247,us,,(413) 662-2625,
Porches Inn,231 River St,North Adams,MA,01247,us,,(413) 664-0400,eross@historichotels.org
Blackinton Manor,1391 Massachusetts Ave,North Adams,MA,01247,us,,(413) 663-5795,epsteind@bcn.net
Whitcomb Summit Retreat,229 Mohawk Trl,Florida,MA,01247,us,,(413) 664-0007,whitcombsummit@gmail.com
Rose and Goat Retreat - Mountain View Apartment,9 Moores Rd,Florida,MA,01247,us,2,,
Indian Ledge Cottage,799 Massachusetts Ave,North Adams,MA,01247,us,,,
Manice Education Center,68 Savoy Rd,Florida,MA,01247,us,,(413) 663-8463,
The Inn on East Main Street,182 E Main St,North Adams,MA,01247,us,,(413) 664-2099,
Northside Motel,45 North St,North Adams,MA,01247,us,,,
Historic Valley Campground,10 Main St,North Adams,MA,01247,us,,(888) 271-2681,
Twin Sisters Inn,1111 State Rd,North Adams,MA,01247,us,,(413) 663-6933,
Inn At Richmond,802 State Rd,Richmond,MA,01254,us,,(413) 698-2566,innkeepers@innatrichmond.com
Bed & Breakfast in the Berkshires,1666 Dublin Rd,Richmond,MA,01254,us,,(413) 698-2817,
Bed & Breakfast In Berkshires,1666 Route 41,Richmond,MA,01254,us,,(413) 698-2817,
Echezeaux,180 Cheever Rd,Richmond,MA,01254,us,,(413) 698-2802,
Inn At Richmond - Bed And Breakfast,802 State Rd,Richmond,MA,01254,us,,(802) 782-8373,
Peirson Place,1238 State Rd,Richmond,MA,01254,us,,(413) 698-2750,
Bascom Lodge,19 Harrington Rd,Savoy,MA,01256,us,,(413) 743-1591,
Shady Pines Campground,547 Loop Rd,Savoy,MA,01256,us,,(413) 743-2694,
Staveleigh House,59 Main St,Sheffield,MA,01257,us,,(413) 229-2129,innkeeper@staveleigh.com
Racebrook Lodge,864 S Undermountain Rd,Sheffield,MA,01257,us,,(413) 229-2916,rblodge@roadrunner.com
Berkshire 1802 House,48 S Main St,Sheffield,MA,01257,us,,(413) 229-2612,innkeeper@berkshire1802.com
Sheffield Inn,94 Maple Ave,Sheffield,MA,01257,us,,(413) 229-9992,
Birch Hill Bed & Breakfast,254 S Undermountain Rd,Sheffield,MA,01257,us,,(413) 229-2143,
Ramblewood Inn,400 S Undermountain Rd,Sheffield,MA,01257,us,,(413) 229-3363,info@ramblewood-inn.com
Berkshire Manor,175 Main St,Sheffield,MA,01257,us,,(413) 229-9969,info@berkshiremanor.com
Orchard Shade Bed & Breakfast,999 Hewins St,Sheffield,MA,01257,us,,(413) 229-8463,
Thornton Henry,999 Hewins St,Sheffield,MA,01257,us,,(413) 229-8463,
Barnspace,864 S Undermountain Rd,Sheffield,MA,01257,us,,(413) 229-2916,
Egremont Inn,10 Sheffield Rd,South Egremont,MA,01258,us,,(413) 528-2111,
Hallig Hilltop House,68 West St,South Egremont,MA,01258,us,,(413) 644-0076,
Mill Cottage,155 Willow St,South Lee,MA,01260,us,,(413) 243-4667,
The Red Lion Inn,30 Main St,Stockbridge,MA,01262,us,108,(413) 298-5545,reservations@redlioninn.com
The Inn at Stockbridge,30 East St,Stockbridge,MA,01262,us,15,(413) 298-3337,innkeeper@stockbridgeinn.com
Seasons On Main B & B,47 Main St,Stockbridge,MA,01262,us,,(413) 298-5419,innkeeper@seasonsonmain.com
Stockbridge Country Inn,26 Glendale Rd,Stockbridge,MA,01262,us,8,(413) 298-4015,
Taggart House,18 Main St,Stockbridge,MA,01262,us,4,(413) 298-5152,stay@taggarthouse.com
Conroy's B & B,11 East St,Stockbridge,MA,01262,us,,(413) 298-4990,
The Cottage,14 Prospect Hill Rd,Stockbridge,MA,01262,us,,(413) 298-3333,
1796 Stockbridge House,46 Interlaken Rd,Stockbridge,MA,01262,us,,(413) 298-4333,
Seekees Bed and Breakfast,Mahkeenac Rd,Stockbridge,MA,01262,us,,(888) 271-2681,
Olde Lamplighter B & B,8 Church St,Stockbridge,MA,01262,us,,(413) 298-3053,
Seasons On Main B and B,30 Main St,Stockbridge,MA,01262,us,,(413) 298-5419,
Whitney House,35 Church St,Stockbridge,MA,01262,us,,(413) 298-3345,
Arbor Rose Bed and Breakfast,8 Yale Hill Rd,Stockbridge,MA,01262,us,,(413) 298-4744,
Blue Willow Bed & Breakfast,2 Lincoln Ln,Stockbridge,MA,01262,us,,(413) 298-3018,
Cobble View Bed & Breakfast,123 Main Rd,Tyringham,MA,01264,us,,(413) 243-2463,innkeepers@cobbleviewbandb.com
Sunset Farm B and B,74 Main Rd,Tyringham,MA,01264,us,,(413) 207-1959,
Shaker Mill Inn,2 Oak St,West Stockbridge,MA,01266,us,9,(413) 232-4600,info@shakermillinn.com
Pleasant Valley Motel West Stockbridge,42 Stockbridge Rd,West Stockbridge,MA,01266,us,16,(413) 232-8511,
Williamsville Inn,286 Great Barrington Rd,West Stockbridge,MA,01266,us,,(413) 274-6118,thewilliamsville@aol.com
Card Lake Inn,29 Main St,West Stockbridge,MA,01266,us,,(413) 232-0272,
The Williams Inn,1090 Main St,Williamstown,MA,01267,us,125,(413) 458-9371,reservations@williamsinn.com
The Orchards Hotel,222 Adams Rd,Williamstown,MA,01267,us,49,(413) 458-9611,reservations@orchardshotel.com
Howard Johnson Williamstown,213 Main St,Williamstown,MA,01267,us,35,(413) 458-8158,
Maple Terrace Motel,555 Main St,Williamstown,MA,01267,us,17,(413) 458-9677,stay@mapleterrace.com
Williamstown Motel,295 Main St,Williamstown,MA,01267,us,18,(413) 458-5202,info@williamstownmotel.com
Berkshire Hills Motel,1146 Cold Spring Rd,Williamstown,MA,01267,us,,(413) 458-3950,info@berkshirehillsmotel.com
Villager Motel,953 Simonds Rd,Williamstown,MA,01267,us,19,(413) 458-4046,sharma@wgvillagermotel.com
Northside Motel,45 North St,Williamstown,MA,01267,us,33,(413) 458-8107,northside@bcn.net
Willows Motel Williamstown,480 Main St,Williamstown,MA,01267,us,18,(413) 458-5768,info@willowsmotel.com
Jericho Valley Inn,2541 Hancock Rd,Williamstown,MA,01267,us,,(413) 458-9511,jvinn@bcn.net
Cozy Corner Motel,284 Sand Springs Rd,Williamstown,MA,01267,us,12,(413) 458-8006,ccwmotel@gmail.com
1896 House Inn,910 Cold Spring Rd,Williamstown,MA,01267,us,30,(413) 458-1896,celebrate@1896house.com
House On Main Street,1120 Main St,Williamstown,MA,01267,us,,(413) 458-3031,webmaster@captivatingcanvas.com
Williamstown Bed & Breakfast,30 Cold Spring Rd,Williamstown,MA,01267,us,,(413) 458-9202,innkeeper@williamstownbandb.com
Green Valley Motel,1214 Simonds Rd,Williamstown,MA,01267,us,10,(413) 458-3864,greenvalleymtl@aol.com
Field Farm Guest House,554 Sloan Rd,Williamstown,MA,01267,us,,(413) 458-3135,westregion@ttor.org
Journey's End Lodge,61 Cobbleview Rd,Williamstown,MA,01267,us,,(202) 802-0880,acrlcrr@yahoo.com
1896 House Brookside & Pondside Country Motels,910 Cold Spring Rd,Williamstown,MA,01267,us,30,(888) 271-2681,
The Birches at Steep Acres Farm Bed and Breakfast,522 White Oaks Rd,Williamstown,MA,01267,us,,(413) 458-8134,thebirchesbb@gmail.com
Clover Hill Farm,249 Adams Rd,Williamstown,MA,01267,us,,(413) 458-3637,
Trustees Of Reservations,83 Old Route 9,Windsor,MA,01270,us,,(413) 684-0148,jdubois@ttor.org
East Windsor Guest House,565 Worthington Rd,Windsor,MA,01270,us,,(413) 684-3191,
Hampton Inn & Suites Greenfield,184 Shelburne Rd,Greenfield,MA,01301,us,68,(413) 773-0057,gfima_hampton@hilton.com
Days Inn Greenfield,21 Colrain Rd,Greenfield,MA,01301,us,59,(413) 774-5578,
The House On The Hill Bed & Breakfast,330 Leyden Rd,Greenfield,MA,01301,us,,(413) 774-2070,mollard@houseonthehillaustin.com
West Winds Inn,151 Smead Hill Rd,Greenfield,MA,01301,us,,(413) 774-4025,info@westwindsinn.com
Brandt House Inn,29 Highland Ave,Greenfield,MA,01301,us,,(413) 774-3329,info@brandthouse.com
Poetry Ridge Bed & Breakfast,55 Stone Ridge Ln,Greenfield,MA,01301,us,,(413) 773-5050,poetryridge@rkotours.com
Easy Street,10 Fiske Ave,Greenfield,MA,01301,us,,(413) 376-4230,
Old Tavern Farm,817 Colrain Rd,Greenfield,MA,01301,us,,(413) 772-0474,
Mike's Bed & Cook Your Own Damn Breakfast,Barton Hts,Greenfield,MA,01301,us,,(413) 218-3914,
AAA Pioneer Valley,91 Main St,Greenfield,MA,01301,us,,(800) 622-9211,webmaster@aaapv.com
Camp Kee-Wanee,Glenbrook Dr,Greenfield,MA,01301,us,,(413) 773-8819,
Candle Light Motor Inn,208 Mohawk Trl,Greenfield,MA,01301,us,,(413) 772-0101,
Hitchcock House,15 Congress St,Greenfield,MA,01301,us,,(413) 774-7452,
Howard Johnson,125 Mohawk Trl,Greenfield,MA,01301,us,,(413) 774-2211,
Corner Porches,82 Baptist Corner Rd,Ashfield,MA,01330,us,,(413) 628-4592,
Bull Frog B & B,1629 Conway Rd,Ashfield,MA,01330,us,,(413) 628-4493,
Bullard Farm Bed & Breakfast,89 Elm St,Athol,MA,01331,us,,(978) 544-6959,
Windmill Motel,497 Northfield Rd,Bernardston,MA,01337,us,,(413) 648-9152,
Fox Inn,71 Northfield Rd,Bernardston,MA,01337,us,29,(413) 648-9131,info@alternateimage.com
Spirit Fire Meditative Retreat Center,407 W Leyden Rd,Bernardston,MA,01337,us,,(413) 624-3955,
Leyden House,200 Brattleboro Rd,Bernardston,MA,01337,us,,(413) 772-0858,info@leydenhouse.com
The Log Cabin Bed & Breakfast,44 Keets Brook Rd,Bernardston,MA,01337,us,2,(800) 666-2691,
Travelers Woods Of New England Campground,152 River St,Bernardston,MA,01337,us,,(413) 648-9105,
The Inn At Crumpin,71 Northfield Rd,Bernardston,MA,01337,us,29,(413) 648-9131,
Bird's Nest Bed & Breakfast,2 Charlemont Rd,Buckland,MA,01338,us,,(413) 625-9523,birdsnestbnb1797@yahoo.com
Berkshire East Ski Area,66 S River Rd,Charlemont,MA,01339,us,,(413) 339-6617,info@berkshireeast.com
Warfield House Inn,200 Warfield Rd,Charlemont,MA,01339,us,,(413) 339-6600,info@warfieldhouseinn.com
Melody's Place,193 Main St,Charlemont,MA,01339,us,,(413) 337-4322,
The Charlemont Inn,Route 2,Charlemont,MA,01339,us,,(413) 339-5796,
Zoar Outdoor Campground,7 Main St,Charlemont,MA,01339,us,,(888) 271-2681,
Red Rose Motel,1701 Mohawk Trl,Charlemont,MA,01339,us,,(413) 625-2666,
Stump Sprouts Ski Touring Center & Guest Lodge,63 W Hill Rd,Charlemont,MA,01339,us,,(413) 339-4265,
Charlemont Inn,107 Main St,Charlemont,MA,01339,us,,(413) 339-5796,
Olde Willow Motor Inn,1463 Mohawk Trl,Charlemont,MA,01339,us,,(413) 339-4483,
Penfrydd Farm,105 Hillman Rd,Colrain,MA,01340,us,,(413) 624-5516,
High Pocket B & B & Barn,38 Adams Pl,Colrain,MA,01340,us,,(413) 624-8988,
The Inn Spot,116 Maple St,Conway,MA,01341,us,,(413) 628-1640,
The House in Pumpkin Hollow Bed and Breakfast,173 Whately Rd,Conway,MA,01341,us,,(413) 369-6007,
Student Hosteling Program,1356 Ashfield Rd,Conway,MA,01341,us,,(413) 369-4275,
Mountain View Inn,146 N Hill Dr,Conway,MA,01341,us,,(413) 369-4700,
Deerfield Inn,81 Old Main St,Deerfield,MA,01342,us,,(413) 774-5587,frontdesk@deerfieldinn.com
Sheldon Brook Farm,143 Mill Village Rd,Deerfield,MA,01342,us,,(413) 773-5519,
Bela's B&B,595B River Rd,Deerfield,MA,01342,us,,,
Sheldon Brook Farm,382 Lower Rd,Deerfield,MA,01342,us,,(413) 773-5519,
Forest Way Farm,Route 8A,Charlemont,MA,01346,us,,(888) 271-2681,
Centennial House,94 Main St,Northfield,MA,01360,us,17,(413) 498-5921,info@thecentennialhouse.com
Northfield Mountain Pump Strg,99 Millers Falls Rd,Northfield,MA,01360,us,,(413) 659-3761,
Northfield Mountain Ski Center,99 Millers Falls Rd,Northfield,MA,01360,us,,(413) 659-3713,
Executive Inn,110 Daniel Shays Hwy,Orange,MA,01364,us,,(978) 544-8864,
Travel Inn,180 Daniel Shays Hwy,Orange,MA,01364,us,17,(978) 544-2986,p.nate@travelinnatlanta.com
Executive Inn Orange,110 Daniel Shays Hwy,Orange,MA,01364,us,,(978) 544-2209,
Rose Cottage Bed & Breakfast,59 Grove St,Orange,MA,01364,us,,(888) 271-2681,
Travel Inn Hotel,180 Daniel Shays Hwy,Orange,MA,01364,us,,(888) 271-2681,
Econo Lodge,110 Daniel Shays Hwy,Orange,MA,01364,us,,(978) 544-8864,
Clamber Hill Inn & Restaurant,111 N Main St,Petersham,MA,01366,us,,(978) 724-8800,relax@clamberhill.com
Colonial Hill Alpaca Farm B,235 N Main St,Petersham,MA,01366,us,,(978) 724-0301,
Winterwood At Petersham,19 N Main St,Petersham,MA,01366,us,6,(978) 724-8885,
Maple House Bed & Breakfast,51 Middletown Hill Rd,Rowe,MA,01367,us,,(413) 339-0107,info@maplehousebb.com
Williams College Camp,Cross Rd,Rowe,MA,01367,us,,(413) 339-5519,
Bradley Michael F & Rebecca,51 Middletown Hill Rd,Rowe,MA,01367,us,,(413) 339-0107,
Kenburn Orchards Bed & Breakfast,1394 Mohawk Trl,Shelburne Falls,MA,01370,us,,(413) 625-6116,
Oxbow Resort Motel,1741 Mohawk Trl,Shelburne Falls,MA,01370,us,,(413) 625-6011,
Red Rose Motel,1701 Mohawk Trl,Shelburne Falls,MA,01370,us,,(413) 625-2666,
Dancing Bear Guest House,22 Mechanic St,Shelburne Falls,MA,01370,us,,(413) 625-9281,info@dancingbearguesthouse.com
Shelburne House Bed and Breakfast,66 Colrain Shelburne Rd,Shelburne Falls,MA,01370,us,,(413) 625-9955,
Red Rose Motel,1701 Route 2,Shelburne Falls,MA,01370,us,,(413) 625-2666,
Country Aire Camp Ground,1753 Mohawk Trl,Shelburne Falls,MA,01370,us,,(413) 625-2996,
Bear Haven B & B,22 Mechanic St,Shelburne Falls,MA,01370,us,,(413) 625-9281,
The Johnson Homestead,79 E Buckland Rd,Shelburne Falls,MA,01370,us,,(413) 625-6603,
Red Roof Inn South Deerfield,9 Greenfield Rd,South Deerfield,MA,01373,us,122,(413) 665-7161,info@redrooflafayette.com
Rainbow Motel,68 State Rd,South Deerfield,MA,01373,us,,(413) 665-8821,
Tibetan Inn of Deerfield,261 Greenfield Rd,South Deerfield,MA,01373,us,,(413) 665-5556,
Sunnyside Farm,21 River Rd,South Deerfield,MA,01373,us,,(413) 665-3113,
Deerfield Guest House B & B,108 N Hillside Rd,South Deerfield,MA,01373,us,,(413) 665-0922,
Deerfield Yellow Gabled House,111 N Main St,South Deerfield,MA,01373,us,,(413) 665-4922,
South Deerfield /UMASS #289,9 Greenfield Rd,South Deerfield,MA,01373,us,,,
Ashley Graves House,121 N Main St,Sunderland,MA,01375,us,,(413) 665-6656,
Montague Elks Lodge,1 Elk Ave,Turners Falls,MA,01376,us,,(413) 863-2521,
Great Wolf Lodge,150 Great Wolf Dr,Fitchburg,MA,01420,us,406,(866) 678-9653,
Holiday Inn Fitchburg - Waterpark,150 Royal Plaza Dr,Fitchburg,MA,01420,us,245,(978) 342-7100,shavonda_s@yahoo.com
Howarth House Bed and Breakfast,81 Ross St,Fitchburg,MA,01420,us,,(978) 342-2851,info@howarthhouse.com
Duck Mill,100 Bemis Rd,Fitchburg,MA,01420,us,,(978) 342-1797,
Best Western,150 Royal Plaza Dr,Fitchburg,MA,01420,us,,(978) 342-7100,
Great Wolf Lodge,150 Royal Plaza Dr,Fitchburg,MA,01420,us,,(978) 343-9653,
Coco Key Water Resort,150 Royal Plaza Dr,Fitchburg,MA,01420,us,245,(978) 342-7100,
Elks Lodge,860 Ashby State Rd,Fitchburg,MA,01420,us,,(978) 342-9032,encinitaselks@live.com
Courtyard by Marriott Fitchburg,150 Royal Plaza Dr,Fitchburg,MA,01420,us,233,(978) 342-7100,
Unified Group,383 Main St,Fitchburg,MA,01420,us,,(978) 353-1952,
Columbia Hotel,64 Main St,Fitchburg,MA,01420,us,,(978) 534-1810,
"Nikitas, Nick-Willow Loft Residences",11 Willow St,Fitchburg,MA,01420,us,,(978) 345-6114,
Maguire House Bed & Breakfast,30 Cobb Rd,Ashburnham,MA,01430,us,3,(978) 827-5053,maguirehouse@earthlink.net
Camp Winnekeag Youth Camp,257 Ashby Rd,Ashburnham,MA,01430,us,,(978) 827-4455,
Mainfare Bed & Breakfast,82 Main St,Ashburnham,MA,01430,us,,(978) 827-6005,mainfarebnb@yahoo.com
1830 Elijah Haven Homeplace,10 Forristall Rd,Ashburnham,MA,01430,us,,(978) 827-3141,info@havenhomeplace.com
Fichtel Robert,82 Main St,Ashburnham,MA,01430,us,,(978) 827-6005,
Ayer Motor Inn,18 Fitchburg Rd,Ayer,MA,01432,us,,(978) 615-9625,mpatel741@gmail.com
Caza Manor Motel,96 E Main St,Ayer,MA,01432,us,,(978) 772-2837,
SpringHill Suites Devens Common Center,27 Andrews Pkwy,Devens,MA,01434,us,120,(978) 772-3030,
Hilton Garden Inn Devens Common,59 Andrews Pkwy,Devens,MA,01434,us,118,(978) 772-0600,
Devens Common Center,31 Andrews Pkwy,Devens,MA,01434,us,,(978) 772-0188,
SpringHill Suites by Marriott,31 Andrews Pkwy,Devens,MA,01434,us,,(978) 772-0188,
Devens Inn & Conference Center,31 Andrews Pkwy,Devens,MA,01434,us,,(978) 772-0188,
Colonial Hotel,625 Betty Spring Rd,Gardner,MA,01440,us,112,(978) 630-2500,weddingsales@colonial-hotel.co
South Gardner Hotel,8 E Broadway,Gardner,MA,01440,us,,(978) 630-1322,
Super 8 Gardner,22 Pearson Blvd,Gardner,MA,01440,us,48,(978) 630-2888,super8mohnan@yahoo.com
Grotonwood Baptist Camp,167 Prescott St,Groton,MA,01450,us,,(978) 448-5763,
Stagecoach Inn At Groton,128 Main St,Groton,MA,01450,us,,(978) 448-5614,
